	student_id	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99
18	71232	33148	33172	53594	36938	36967	36570	36577	36514	36531	32037	32053	36503	36467	32037	32053	36967	33148	36503	36467	36570	36577	53594	36938	33172	36514	36531	52712	44124	44061	44125	44056	44672	44678	44369	44376	44371	44367	44375	44473	44436	44447	44433	44441	44455	44450	44444	44428	44445	44462	44463	44435	44471	44427	44449	47018	34336	44499	44496	44533	44531	44532	44473	44436	44447	44433	44441	44455	44450	44444	44428	44445	44462	44463	44435	44471	44427	44449	48637	48715	48642	48675	48734	48091	47979	48081	48386	48541	38323	38354	38331	38328	69192	47093	47085	47111	47088	47018	34336	37184	50815
19	71740	33173	33133	52666	53414	53497	53478	36836	36844	37058	37076	37073	36844	36832	31387	36821	52639	35887	39828	39806	35996	36021	35829	36012	36005	36104	36034	36014	35975	33133	33173	53765	53819	53811	40350	40360	40344	40309	40293	50265	50266	50241	40335	50246	40350	40360	40344	40309	40293	50269	40335	41085	41114	41100	41024	50195	50046	50082	50067	50083	50106	44126	44061	44219	44222	44685	44681	44676	44689	44388	44371	44390	44395	44404	44414	44406	44221	43858	43852	44058	44052	44130	42373	42385	49030	49166	54665	47875	47887	54627	47858	46571	46591	46641	46658	46663	47368	47333	47344	47343	47485
20	71826	33108	33132	33114	33122	31424	31378	31385	36837	33072	33092	53104	31983	36432	36897	36891	36950	36948	36864	53611	32039	32024	32047	36471	36466	36520	36524	32048	32042	36487	36458	36566	36572	36520	36530	36522	36523	36790	36770	36774	36816	36805	31333	31308	53232	53271	53263	53284	36803	36769	36783	36781	36783	36766	32039	32024	32047	32048	32042	36950	36948	36864	36471	36466	33108	33132	33114	33122	36487	36458	36566	36572	53611	36897	36891	36520	36524	52715	36520	36530	36522	36523	41089	42376	49068	46536	46520	46664	46635	46578	38060	47303	47324	47371	47351	47436	47414	47425	47428	47392	47399
21	71831	33160	33137	36597	33101	36594	53110	33087	33027	33051	36594	33101	33070	36595	33029	31970	36440	31971	31978	31968	36442	53317	36939	36892	36873	36908	36894	36933	53595	36947	36935	36892	36526	36534	36542	36522	36519	37054	31655	31672	37050	32099	32837	36589	36590	36473	36502	36478	36503	36498	36455	36469	36488	32841	32816	36515	36535	32020	32039	32019	32044	32057	32084	32861	32847	36538	36517	36574	36589	31853	32023	32038	36811	36802	36786	36796	36803	36772	36801	36808	36788	36786	36766	36762	36767	53234	36771	36773	36799	36803	36793	36768	36764	36774	36788	36873	32020	32039	32019	32044	32861
22	71872	33183	33118	37046	31663	36543	36517	36528	36535	36531	36579	36572	33118	36579	36572	33183	36543	36517	36528	36535	36531	37046	41686	41673	41094	42376	49164	49095	48983	48971	49095	49050	40781	46683	46650	46632	47332	47481	47477	47416	38062	46578	46628	46659	47325	47429	38042	33732	33711	33748	47217	47190	47175	39248	33762	39445	47196	39248	55636	55651	55656	55623	55625	39186	34057	34023	39742	39730	39759	43702	43749	43617	43583	43728	43697	43673	43702	43749	43617	43583	43728	43697	43673	37744	49733	32135	32136	32118	32119	32137	32129	34290	32146	32130	32127	32143	32129	32138	32122	32134	32132
23	71881	33154	33107	52640	53417	53416	53448	37070	37073	37079	36838	31381	31416	31378	31389	36833	36832	31371	33067	33049	53139	35777	35782	35814	35833	35801	39817	35989	35984	35998	36005	36045	36079	36018	36129	35861	35806	39822	35978	36033	36031	36062	31958	36451	36904	36912	53584	32051	32021	36505	36493	36490	36465	36572	36587	31746	36534	36515	37038	37054	37027	37035	53269	53224	53258	36814	36775	36789	36774	31323	31354	31315	31353	31322	31325	32051	32021	33154	33107	52193	36505	36493	36490	36465	36572	36587	36912	52783	36534	36515	36904	53584	53672	41730	41726	41965	41960	41952	41955	41990	41994
24	72059	33168	33175	33113	33184	52636	53488	36827	37069	31412	36837	53337	36581	36576	31811	36506	36511	37042	31669	37053	37029	36781	36764	31332	31333	36506	36511	33113	36581	36576	52778	52693	33168	33175	33184	53682	42025	42047	41679	41676	37042	37053	37029	41567	41084	41078	41063	41084	41078	41063	40829	53488	36827	37069	36837	55651	55641	55623	55627	55637	39256	39742	43709	43606	43628	43723	43674	43709	43606	43628	43723	43674	31811	34290	44431	44476	44442	44434	44477	44449	44451	31669	47597	47588	47541	47571	48236	52636	54562	31332	31333	31412	46965	50722	50695	50743	50724	44431	44476	44442	44434
25	72378	33113	33146	53418	31401	31402	37079	37084	53302	36576	36567	31768	36509	36506	37051	37053	36777	36762	31320	31335	51913	52208	36509	36506	33113	33146	36576	36567	53699	42026	42044	41674	41697	37051	37053	41601	41613	41593	41557	41066	41066	40922	37079	37084	55651	55637	55655	55626	55627	55654	55629	39326	43664	43633	43694	43709	43569	39672	43664	43633	43694	43709	43569	31768	44450	44434	44456	44455	44429	47590	47632	47605	47596	47536	47545	48297	54562	31320	31335	53418	31401	31402	46539	34335	44511	44498	44520	44532	44541	44450	44434	44456	44455	44429	50686	50679	50762	50710	43664	43633	43694
26	72880	33164	33119	53417	53606	36887	36902	32100	32112	33164	33119	53606	32100	32112	36887	36902	41091	44061	44219	44218	43847	42367	49024	50634	40850	40866	40826	47891	47879	54648	54641	54649	47859	54633	41373	47311	47477	47420	47478	47411	47388	47412	47433	47379	38069	46650	47200	47174	47178	39596	39614	39622	33773	39272	39383	39366	55639	55633	55630	39703	34066	37713	37702	37732	49735	32132	32130	32142	32144	32123	32126	47000	32133	32138	32140	32128	32120	47549	47161	53417	46774	34343	34341	44517	50714	40735	48013	48078	47984	48312	48711	48673	48652	48720	48638	48653	48856	46521	34343	47000	34341
27	73684	33147	33136	33165	33168	52649	52643	52668	53442	53445	53468	53463	36843	36833	36842	37079	33037	32865	32874	32863	32041	32051	31671	37046	31649	37029	31666	36521	36541	36586	36593	36478	36588	36579	36455	31877	31912	31861	32022	32049	36518	36531	36769	36787	36765	36776	31358	31334	36775	36773	36763	36784	32865	32874	32863	32041	32051	32022	32049	33147	33136	33165	36478	36455	51808	52207	36586	36593	36588	36579	36521	36541	33168	52714	36518	36531	52695	37046	37029	41683	41681	40372	40283	42134	42132	50315	40298	40372	40283	42134	42132	40298	41112	41091	41103	41096	40972	41014	41017	50092	41020
28	73685	33195	33157	33143	33150	52674	52653	52662	33071	36596	33089	33069	53144	35921	39808	39818	35804	35973	36008	35971	35962	36039	36055	36072	39816	31960	36447	53287	36916	36939	53607	36580	36564	36527	36520	36524	36542	36521	53284	53271	53189	36812	36779	36784	36786	33157	33143	33150	36580	36564	36916	36939	53607	33195	36527	36520	36524	36542	36521	41690	41676	41849	41863	40388	40231	40395	50325	42112	50229	50207	50248	40388	40231	40395	42112	50306	41101	50134	41089	41086	40971	50077	40980	44128	44127	44059	44052	44251	44220	44214	44675	44389	44384	44367	44408	42209	44404	43804	43861	43942	43946
29	73962	33153	33127	52647	53430	53438	53403	36856	31613	32088	32113	36543	36538	36581	36591	32024	32041	36471	36484	36485	36583	36569	36514	36520	36468	36506	32024	32041	51853	36856	33153	33127	51822	36471	36484	36485	36468	36506	36581	36591	36583	36569	32088	32113	36543	36538	36514	36520	41090	44275	44302	49069	49001	48994	48995	49145	49121	48983	49066	49072	49023	49046	49063	49044	49068	49010	49096	49011	46667	46571	46675	47285	47436	38063	38045	38043	46511	46572	46629	46512	46655	47280	47406	38068	33717	47180	47228	47183	38625	38609	39221	38598	38624	33689	39631	47228	39248	33772	39561	38625	38609
30	74698	33161	33136	36510	36509	36565	36578	32020	32051	32023	32020	32051	32023	36510	36509	33161	33136	36565	36578	41720	41720	50290	44251	42361	42375	48983	51948	51999	51958	46637	46686	46533	47283	47439	47376	47387	47417	38041	47464	46558	46682	46652	47314	47378	47391	47476	47413	38043	38065	47441	38055	38063	38045	47211	33737	33700	39404	38631	47217	38606	38632	39250	39060	33769	39525	39389	55635	55647	55650	55633	55636	38631	55637	55635	55654	55646	55656	39400	38276	38606	38632	39250	39060	55635	55651	55645	55647	55642	39396	39760	34020	34066	39782	43659	43588	43621	43567	34072	39726	39750	39788
31	75169	33180	33168	33142	33176	52658	52645	53406	53492	53466	37083	36823	31403	31372	31381	36841	53434	52674	53485	36837	36822	31405	31408	33100	33073	53167	36598	33091	36594	53094	35869	35863	35815	35779	35997	36036	35819	35831	35904	35996	35967	35990	36049	35791	35956	36059	36449	36442	31972	53339	31980	36442	36859	36906	36929	36937	36913	36885	36920	36926	36961	53611	36887	36909	36872	36910	53527	37047	31645	36522	36515	36575	36580	32022	32020	32017	32055	32046	36473	36458	32052	32055	36491	36469	36568	31846	37033	31647	31662	37040	31654	36540	36532	32017	32024	36490	36499	36589	36583	31851	31891
32	78073	33161	33125	33190	33119	33175	33142	73212	73237	73244	73222	73243	33119	33170	53455	53427	53426	53452	53440	37071	36839	37080	36825	36837	31414	36846	36842	78308	78300	78324	78338	78304	53145	53086	53170	33048	33041	33099	53093	33029	33099	31980	36430	73143	73139	73129	73150	73130	53578	36932	36881	73190	73175	73166	73203	73186	73197	73185	36534	36541	36528	36517	36524	36506	36509	36474	36493	36567	36583	31834	31908	37040	31658	53224	53192	53230	53200	53209	36806	36760	36817	36797	36813	36792	36789	36774	36786	36778	36768	31338	31326	31360	31314	31318	31325	52183	73203	73197	36506	36509	36474
33	78673	33107	33162	33160	33112	31423	31424	36841	36837	31428	37072	36833	33061	33073	33031	35880	35884	36074	36057	36095	31961	31966	36856	36959	36878	36919	36904	36918	36934	32088	32097	32082	32072	32085	32061	36528	36523	36568	36571	31596	31612	31590	31604	32840	32816	32827	32818	32019	32024	31656	31671	32026	32023	36493	36506	36495	36475	36485	37054	31652	37026	37050	41884	41901	36564	36582	36534	36538	32026	32017	32053	32024	32046	36804	36795	31358	31344	31352	31306	31333	36781	36767	31326	31308	31314	31327	31334	36856	36959	36878	32019	32024	32026	32023	32026	32017	32053	32024	32046	32082	32072
34	78675	33174	33155	31402	36831	36835	36846	33087	33103	33038	31970	31971	36946	36898	36866	36892	36881	36929	36966	31614	31601	31609	31611	31664	37037	31586	31587	31604	37032	32042	32862	32018	32855	32872	32083	32112	32092	32833	32845	32039	32043	32074	32080	37035	31647	32019	32021	36507	36471	36488	36478	36541	36539	36593	36566	36815	31317	36770	36776	36789	36797	31354	31344	31348	31360	31322	31353	31345	31357	31321	31351	31355	36772	36786	31323	31308	31332	31326	31333	31314	31306	31311	31346	31331	36770	36788	36812	36803	53269	36946	32042	32862	32018	32855	32872	32039	32043	36866	36966	32019	32021
35	78903	33130	33157	33167	33119	33196	33136	33160	33157	33150	53410	52675	52674	52637	36848	36846	31382	31415	33098	33101	53153	33068	35850	35838	35868	35971	36056	36439	31957	31968	36445	31975	36451	36443	53291	53634	53600	53503	53585	53566	53529	53603	36956	53581	36910	32053	32056	36501	36494	36565	36587	36517	36524	31819	37026	31666	63201	53273	36817	36771	36763	36762	31328	31359	31328	31315	32053	32056	53634	36956	36501	36494	51813	52223	53503	53529	33130	33157	33119	33136	33160	33157	33150	36565	36587	53600	53603	36517	36524	53585	53566	33167	33196	53581	36910	53677	41772	41713	41745	42009	42006
36	78904	33186	33171	33190	33128	33138	33159	33122	33163	33154	33168	33196	33157	33180	33175	53444	37080	37062	37069	36847	36835	33048	53177	33059	33047	33070	33098	35846	35811	35885	36057	35998	31986	36429	31976	36427	31964	53318	53305	36426	31962	53566	53578	53572	53604	53587	53568	53529	36928	36933	53503	32021	32039	36515	36527	36500	36461	36583	36579	31922	31653	37053	36784	36762	31306	53262	36770	36798	31324	31336	31323	31364	31351	31329	31333	32021	32039	51750	51857	33128	33138	33159	33122	33163	53529	36500	36461	53503	33154	33157	53604	36583	36579	36928	36933	36515	36527	33186	33171	33190	53566
37	78905	73224	73240	73236	73223	73214	33125	33161	33151	33148	53419	37061	36845	78325	78326	78317	78312	78321	78308	31406	31381	36841	31409	33039	33057	53168	33090	33059	35812	35964	35953	35996	36009	36117	35888	35817	39813	73162	73153	73161	73163	73150	31958	36444	31961	53310	73204	73167	73180	73165	73187	36912	36905	53572	32052	32048	32040	36461	36478	36574	36564	36537	36524	31868	37036	31662	53252	36779	36816	36784	36788	31360	31347	31327	31324	32052	32048	32040	73204	51756	36461	36478	73167	73165	51899	33125	33161	33151	33148	36574	36564	73187	36912	36537	36524	73180	73214	36905	53572	53729	41713
38	78906	73212	73223	73227	73236	73206	73228	33190	33151	33159	33107	53457	53455	53437	37080	36840	36849	37079	36845	37071	78331	78323	31405	31406	31393	36835	36824	33038	33031	53174	53108	53156	33073	33092	35909	35848	35823	39817	35986	35960	35989	36089	36083	36020	36054	36125	36044	73160	73133	73164	73135	73139	31984	31969	53337	73180	73187	73195	73200	73186	36906	36884	53632	32017	32025	36456	36475	36458	36474	36489	36505	36462	36494	36581	36591	36568	36585	36541	36525	36537	36526	31762	37046	37033	53258	36771	36785	36767	36811	36784	36778	36797	36764	36793	36803	36799	36765	36763	31319	31332	31338
39	78907	33121	33171	33182	33158	33155	33131	33130	33182	33143	33173	33170	33168	53430	37082	37072	52647	52650	52652	31411	36843	33029	36598	53116	33039	33103	35888	36004	36067	36452	36425	31965	31961	31964	31973	31985	53314	53508	53570	53602	53646	53563	36913	36917	53569	32018	32045	36489	36474	36481	36497	36513	36580	36588	36578	36572	36533	36534	31901	63203	37026	31661	53284	36806	36811	36768	36781	36783	36782	31352	31321	31319	31309	32018	32045	53646	36489	36474	36481	36497	36513	33121	33158	33155	33131	53508	51781	33130	33143	36580	36588	36578	36572	53602	36913	36917	33171	33182	53570	53563	36533
40	78908	33143	33176	33173	33195	33164	33192	33129	33148	33154	53450	36837	36847	52669	36830	36833	31416	31371	31417	36838	52671	52645	33051	53092	53131	53153	33100	33040	35797	36096	35971	31957	31981	31983	31986	36438	31963	31970	36444	53508	53522	53609	53600	53593	53640	53521	36871	36960	53637	53515	53639	32021	32038	32055	32023	36488	36460	36505	36511	36578	36582	36536	36515	31769	31867	31907	63203	37033	37029	31670	31663	63201	53271	36775	36785	36802	36772	36775	36789	31320	31351	31338	31331	31342	31319	31329	32021	32038	32055	32023	51755	53640	36871	36960	53637	53639	36488	36460	36505	36511	51874
41	78909	33111	33149	33195	33117	33165	33119	33118	33158	33107	33186	33137	33125	33121	33172	53407	53448	53411	37068	37072	52640	31392	31421	31383	31400	36833	33072	33038	53102	53170	53128	53174	53104	33068	33041	35799	35839	35904	35786	35970	36054	35798	36442	31961	36439	31966	31981	31971	36446	53516	53634	53644	53613	53610	53517	36879	36854	36922	36946	36887	36925	53519	32023	32046	32037	32022	32055	36470	36461	36576	36571	36533	36515	31764	31914	31789	63207	63202	37037	37032	53271	53270	53230	36807	36810	36765	36770	31323	31337	31351	31324	31308	31338	31326	31315	32023	32046	32037	32022	32055	53634
42	78910	33147	33117	33180	33181	33159	33195	33114	33115	33107	33194	53447	36831	37084	52670	52643	52637	31377	31420	36824	36849	36843	33048	33097	33059	33069	53159	33038	33059	35884	35967	36042	31980	36432	36431	31971	31977	36444	31959	53332	53646	53577	53639	53568	53630	53635	53582	36914	36960	53578	32020	32017	36479	36457	36589	36578	36572	36593	36518	36516	31751	31757	31860	37037	37048	53196	36812	36784	36789	36785	36762	36766	36782	31357	31328	31306	31308	32020	32017	53646	53639	53630	53635	36960	36479	36457	33147	33117	33159	51808	51870	33114	33115	33107	36589	36578	36572	36593	36914	53577	53568
